
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set MID and time  0.1000000E+01

         9 -6.862904E-17 -1.307979E-14 -8.035271E-02

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set MEMBER and time  0.1000000E+01

         2  27  1.257872E+00 -1.667136E-02 -7.989124E-03 -5.582232E-03 -1.382279E-01 -3.845742E-03
         3   1 -1.479695E+00 -1.412976E-02 -1.805112E-02 -2.629026E-03 -1.356267E-01  2.060062E-03
         3   2 -1.712145E+00 -6.506362E-03  9.969460E-03  5.210373E-04 -7.420920E-02 -6.517977E-03
         3   3 -1.944024E+00  2.446934E-03  3.856000E-02  3.671101E-03 -1.367008E-01 -1.536960E-02
         3   4  3.781992E-13 -3.346454E-14 -7.018748E-14  1.682289E-14 -1.494827E-01  2.060062E-03
         3   5  3.635404E-13  3.391240E-15 -3.079902E-14  7.784167E-16 -8.806527E-02 -6.517977E-03
         3   6  3.646426E-13  2.128774E-14  7.949221E-14  2.682534E-15 -1.505568E-01 -1.536960E-02
         3   7  1.479695E+00  1.412976E-02  1.805112E-02  2.629026E-03 -1.356267E-01  2.060062E-03
         3   8  1.712145E+00  6.506362E-03 -9.969460E-03 -5.210373E-04 -7.420920E-02 -6.517977E-03
         3   9  1.944024E+00 -2.446934E-03 -3.856000E-02 -3.671101E-03 -1.367008E-01 -1.536960E-02
         3  10 -1.476504E+00 -1.276181E-02 -1.668317E-02 -5.615800E-14 -1.285651E-01  1.140161E-15
         3  11 -1.708953E+00 -5.138414E-03  1.133741E-02 -7.217675E-14 -6.593928E-02 -3.408210E-15
         3  12 -1.940832E+00  3.814881E-03  3.992794E-02 -6.504623E-14 -1.272225E-01 -4.339075E-14
         3  13 -1.144326E-14 -1.885612E-14 -2.047394E-14  3.196145E-14 -1.424212E-01 -3.597901E-14
         3  14 -9.422346E-15  3.555828E-15 -1.759955E-15  3.495736E-15 -7.979535E-02  1.021152E-14
         3  15 -2.364980E-14 -2.435087E-14  1.548312E-14 -6.635605E-15 -1.410786E-01  7.617603E-15
         3  16  1.476504E+00  1.276181E-02  1.668317E-02  1.103803E-13 -1.285651E-01 -2.271583E-14
         3  17  1.708953E+00  5.138414E-03 -1.133741E-02  7.847639E-14 -6.593928E-02 -8.540162E-15
         3  18  1.940832E+00 -3.814881E-03 -3.992794E-02  6.175825E-14 -1.272225E-01 -1.988138E-15
         3  19 -1.479695E+00 -1.412976E-02 -1.805112E-02  2.629026E-03 -1.356267E-01 -2.060062E-03
         3  20 -1.712145E+00 -6.506362E-03  9.969460E-03 -5.210373E-04 -7.420920E-02  6.517977E-03
         3  21 -1.944024E+00  2.446934E-03  3.856000E-02 -3.671101E-03 -1.367008E-01  1.536960E-02
         3  22 -4.099924E-13 -1.070856E-14  1.609125E-14  4.388736E-14 -1.494827E-01 -2.060062E-03
         3  23 -3.946911E-13 -6.293712E-15  6.352916E-15  3.621167E-15 -8.806527E-02  6.517977E-03
         3  24 -3.890961E-13 -4.514229E-14  1.167426E-14 -1.833535E-14 -1.505568E-01  1.536960E-02
         3  25  1.479695E+00  1.412976E-02  1.805112E-02 -2.629026E-03 -1.356267E-01 -2.060062E-03
         3  26  1.712145E+00  6.506362E-03 -9.969460E-03  5.210373E-04 -7.420920E-02  6.517977E-03
         3  27  1.944024E+00 -2.446934E-03 -3.856000E-02  3.671101E-03 -1.367008E-01  1.536960E-02
         4   1 -2.160132E+00 -1.383768E-02  1.055552E-03 -1.036034E-02 -1.470212E-01 -8.820768E-03
         4   2 -2.388272E+00  2.675384E-02 -3.997591E-02 -1.342066E-02 -8.772995E-02  2.647282E-02
         4   3 -2.628548E+00  3.902668E-02 -9.314395E-02 -1.648098E-02 -1.446350E-01  6.759196E-02
         4   4  3.493947E-13  2.662097E-14  7.580630E-14  2.048477E-14 -1.492321E-01 -8.820768E-03
         4   5  2.466320E-13  4.304865E-16 -1.553122E-14  1.235189E-14 -8.994083E-02  2.647282E-02
         4   6  1.729047E-13 -5.570618E-14  2.164091E-14  5.743699E-14 -1.468458E-01  6.759196E-02
         4   7  2.160132E+00  1.383768E-02 -1.055552E-03  1.036034E-02 -1.470212E-01 -8.820768E-03
         4   8  2.388272E+00 -2.675384E-02  3.997591E-02  1.342066E-02 -8.772995E-02  2.647282E-02
         4   9  2.628548E+00 -3.902668E-02  9.314395E-02  1.648098E-02 -1.446350E-01  6.759196E-02
         4  10 -2.167223E+00 -1.687674E-02 -1.983515E-03  8.281269E-14 -1.221108E-01 -4.086801E-14
         4  11 -2.395363E+00  2.371478E-02 -4.301498E-02  4.324968E-14 -6.550403E-02  1.059890E-14
         4  12 -2.635639E+00  3.598762E-02 -9.618301E-02  5.521302E-14 -1.250935E-01  2.823277E-14
         4  13 -4.705302E-15 -4.502493E-15  4.277415E-14  3.503811E-14 -1.243216E-01 -5.061686E-15
         4  14  1.238002E-14  2.642380E-14  3.440939E-14  6.363931E-15 -6.771492E-02 -2.047588E-14
         4  15  1.414056E-14 -1.735822E-14  5.026325E-14  3.263925E-14 -1.273044E-01 -3.949410E-14
