
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set ALLN and time  0.1000000E+01

         1 -2.433974E-04 -5.177533E-03 -1.549358E-03
         2  0.000000E+00  0.000000E+00  1.084202E-19
         3  6.097014E-03 -4.473455E-01 -1.388618E-01
         4  6.358568E-03 -1.326224E+00  3.469447E-18
         5  6.314976E-03 -1.912143E+00  3.408753E-01
         6  2.218439E+00  2.257488E-01  6.292879E-01
         7  2.218444E+00 -8.673617E-19 -3.469447E-18
         8  2.218410E+00 -4.544615E-01 -4.953560E-01
         9  2.218375E+00 -1.038425E+00  0.000000E+00
        10  2.218381E+00 -1.427734E+00  6.763484E-01
        11  0.000000E+00  0.000000E+00  0.000000E+00
        12  0.000000E+00  0.000000E+00  0.000000E+00
        13  0.000000E+00  0.000000E+00  0.000000E+00
        14  0.000000E+00  0.000000E+00  0.000000E+00
        15  0.000000E+00  0.000000E+00  0.000000E+00
        16  3.503086E-01 -4.483019E-01 -4.034924E-01
        17  1.212866E+00 -4.508657E-01 -7.764676E-01
        18  1.976214E+00 -4.533801E-01 -6.955837E-01
        19  0.000000E+00  0.000000E+00  0.000000E+00
        20  0.000000E+00  0.000000E+00  0.000000E+00
        21  0.000000E+00  0.000000E+00  0.000000E+00
        22  0.000000E+00  0.000000E+00  0.000000E+00
        23  0.000000E+00  0.000000E+00  0.000000E+00
        24  0.000000E+00  0.000000E+00  0.000000E+00
        25  0.000000E+00  0.000000E+00  0.000000E+00
        26  3.947401E-01 -3.583620E-01 -4.078535E-01
        27  0.000000E+00  0.000000E+00  0.000000E+00
        28  0.000000E+00  0.000000E+00  0.000000E+00
        29  2.004423E+00 -5.086750E-01 -6.999409E-01

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALLE and time  0.1000000E+01

         1   1  1.553191E+00  1.158452E+00  1.129725E+00  1.397436E-01 -5.969303E-01  4.976491E-01
         1   2 -2.066526E-01 -1.233686E+00 -3.187434E+00  1.101557E+00  1.086242E+00 -3.710864E-01
         1   3 -1.395152E+00 -1.020440E+00 -7.935065E-01  1.818874E-01  5.969303E-01  3.132703E-01
         1   4  4.861361E-02 -2.089698E-01  2.364421E+00  1.143700E+00 -1.086242E+00 -1.867076E-01
         1   5  4.861361E-02  6.215313E-01  3.945980E-01 -1.397436E-01 -3.528458E-01 -1.125620E-01
         1   6 -1.395152E+00 -1.033092E+00 -3.606483E+00 -1.101557E+00  1.330327E+00  2.391247E-01
         1   7 -2.066526E-01 -4.031852E-01 -3.744577E-01 -1.818874E-01  3.528458E-01 -2.969409E-01
         1   8  1.553191E+00  1.145800E+00  3.099548E+00 -1.143700E+00 -1.330327E+00  4.235036E-01
         2   1  1.687288E+01 -3.218257E-01  9.990840E-01  2.914264E+00 -3.952025E+00 -3.149699E-01
         2   2  1.821918E+01  1.350678E+00  4.074322E+00  2.185173E+00 -5.227935E+00  3.140393E-01
         2   3 -9.799518E+00  1.168985E+00 -8.766398E-01  2.888109E+00  1.237105E+00 -1.433262E-01
         2   4 -1.085157E+01  4.431408E-01 -3.397546E+00  2.159017E+00  2.513015E+00  1.423956E-01
         2   5  1.315857E+01 -6.077808E-01  1.437844E+00 -4.130631E+00 -4.073846E+00  1.418583E-01
         2   6  1.421063E+01  3.781482E-01  4.218835E+00 -3.401540E+00 -5.349756E+00 -1.427889E-01
         2   7 -1.487480E+01  2.997565E-01 -1.021153E+00 -4.104476E+00  1.358926E+00  3.135020E-01
         2   8 -1.622109E+01 -1.112662E+00 -3.836306E+00 -3.375385E+00  2.634836E+00 -3.144326E-01
         3   1 -7.220178E+00 -2.134419E+00 -4.143972E-01  4.027378E-02  6.152806E-01 -2.642967E-01
         3   2 -6.767098E+00 -8.758873E-01  2.400276E-01  4.027378E-02  6.152806E-01  2.642967E-01
         3   3 -7.220178E+00 -2.134419E+00 -4.143972E-01 -4.027378E-02  6.152806E-01  2.642967E-01
         3   4 -6.767098E+00 -8.758873E-01  2.400276E-01 -4.027378E-02  6.152806E-01 -2.642967E-01
         3   5  7.220178E+00  1.758704E+00  3.868283E-02 -4.027378E-02  6.152806E-01 -2.642967E-01
         3   6  6.767098E+00  9.028624E-01 -2.130525E-01 -4.027378E-02  6.152806E-01  2.642967E-01
         3   7  7.220178E+00  1.758704E+00  3.868283E-02  4.027378E-02  6.152806E-01  2.642967E-01
         3   8  6.767098E+00  9.028624E-01 -2.130525E-01  4.027378E-02  6.152806E-01 -2.642967E-01
         4   1  2.433482E-01  1.257022E+00  3.028966E-01 -6.489286E-02  7.005614E-14  2.839062E-01
         4   2 -2.433482E-01  4.589299E-02 -2.593041E-01 -6.489286E-02 -2.364395E-13 -2.839062E-01
         4   3  2.433482E-01  1.257022E+00  3.028966E-01  6.489286E-02  1.576263E-13 -2.839062E-01
         4   4 -2.433482E-01  4.589299E-02 -2.593041E-01  6.489286E-02  4.641219E-13  2.839062E-01
         4   5 -2.433482E-01 -1.137926E+00 -1.837999E-01  6.489286E-02  2.101684E-13  2.839062E-01
         4   6  2.433482E-01 -7.780485E-02  2.273923E-01  6.489286E-02 -5.254211E-14 -2.839062E-01
         4   7 -2.433482E-01 -1.137926E+00 -1.837999E-01 -6.489286E-02 -2.189254E-14 -2.839062E-01
         4   8  2.433482E-01 -7.780485E-02  2.273923E-01 -6.489286E-02  2.977386E-13  2.839062E-01
         5   1 -7.147096E-02  2.982135E-01 -1.047339E-01  7.815620E-02 -3.376987E-02 -2.575087E-01
         5   2  7.147096E-02  1.212739E+00 -5.627426E-01  7.815620E-02 -3.376987E-02  2.575087E-01
         5   3 -5.147005E-01 -1.450161E-01 -4.772204E-01 -7.815620E-02  3.376987E-02  4.263580E-01
         5   4  5.147005E-01  1.655969E+00  1.133175E+00 -7.815620E-02  3.376987E-02 -4.263580E-01
         5   5  5.147005E-01  1.492332E-01  4.814376E-01 -7.815620E-02  3.376987E-02 -4.263580E-01
         5   6 -5.147005E-01 -1.671708E+00 -1.148914E+00 -7.815620E-02  3.376987E-02  4.263580E-01
         5   7  7.147096E-02 -2.939963E-01  1.089510E-01  7.815620E-02 -3.376987E-02  2.575087E-01
         5   8 -7.147096E-02 -1.228478E+00  5.470040E-01  7.815620E-02 -3.376987E-02 -2.575087E-01
         6   1 -4.365854E+00 -1.238845E+00  5.709211E-01  5.596785E-01 -7.241825E-01  2.551122E-01
         6   2 -4.579719E+00 -2.153681E+00  8.260891E-01  5.596785E-01 -7.241825E-01 -2.551122E-01
         6   3 -1.193457E+01 -9.070255E-01 -2.880150E-02  6.566891E-01 -7.578911E-01 -3.815195E-01
         6   4 -1.281208E+01 -2.485500E+00 -1.322123E+00  6.566891E-01 -7.578911E-01  3.815195E-01
         6   5  1.193457E+01  9.034607E-01  2.523675E-02  6.566891E-01 -7.578911E-01  3.815195E-01
         6   6  1.281208E+01  2.535151E+00  1.371773E+00  6.566891E-01 -7.578911E-01 -3.815195E-01
         6   7  4.365854E+00  1.235280E+00 -5.744858E-01  5.596785E-01 -7.241825E-01 -2.551122E-01
         6   8  4.579719E+00  2.203332E+00 -7.764385E-01  5.596785E-01 -7.241825E-01  2.551122E-01
         7   1 -1.006434E+01 -2.688523E+00 -2.909531E-01  5.613838E-02  8.576511E-01 -3.684081E-01
         7   2 -9.432785E+00 -1.241499E+00  3.139960E-01  5.613838E-02  8.576511E-01  3.684081E-01
         7   3 -1.006434E+01 -2.688523E+00 -2.909531E-01 -5.613838E-02  8.576511E-01  3.684081E-01
         7   4 -9.432785E+00 -1.241499E+00  3.139960E-01 -5.613838E-02  8.576511E-01 -3.684081E-01
         7   5  1.006434E+01  2.738174E+00  3.406037E-01 -5.613838E-02  8.576511E-01 -3.684081E-01
         7   6  9.432785E+00  1.237934E+00 -3.175607E-01 -5.613838E-02  8.576511E-01  3.684081E-01
         7   7  1.006434E+01  2.738174E+00  3.406037E-01  5.613838E-02  8.576511E-01  3.684081E-01
         7   8  9.432785E+00  1.237934E+00 -3.175607E-01  5.613838E-02  8.576511E-01 -3.684081E-01
         8   1  3.392076E-01  1.661312E+00  3.313383E-01 -9.045536E-02 -7.706175E-13  3.957422E-01
         8   2 -3.392076E-01  8.832094E-02 -3.370990E-01 -9.045536E-02 -1.024571E-12 -3.957422E-01
         8   3  3.392076E-01  1.661312E+00  3.313383E-01  9.045536E-02 -2.451965E-13 -3.957422E-01
