
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set ALLN and time  0.1000000E+01

         1  2.117582E-22 -8.470329E-22  0.000000E+00
         2  7.884106E-05  0.000000E+00 -7.253345E-07
         3  4.686886E-03 -2.891206E-19 -7.989320E-04
         4  4.010227E-02  0.000000E+00 -1.618097E-03
         5 -1.056666E+00  0.000000E+00 -3.083883E-01
         6 -1.048183E+00  0.000000E+00 -3.083893E-01
         7 -8.974985E-01  0.000000E+00 -3.076192E-01
         8 -6.480625E-01  8.673617E-19 -3.067934E-01
         9 -4.381649E-02 -8.673617E-19 -1.844930E-02
        10 -3.909010E-01  0.000000E+00 -1.504856E-01
        11 -8.746273E-01  0.000000E+00 -2.862181E-01
        12 -7.601526E-02 -5.782412E-19 -3.021253E-02
        13 -4.770546E-01  0.000000E+00 -1.812963E-01
        14 -8.874131E-01  0.000000E+00 -2.928064E-01
        15 -5.780775E-02  0.000000E+00 -2.013753E-02
        16 -3.508020E-01  0.000000E+00 -1.559340E-01
        17 -7.388501E-01  0.000000E+00 -2.900216E-01
        18 -1.893781E-02  0.000000E+00 -2.159897E-02
        19 -2.351566E-01 -8.673617E-19 -1.524150E-01
        20 -5.198032E-01  0.000000E+00 -2.850160E-01
        21  1.182075E-01  7.575037E-01  2.153180E-01
        22  1.201074E-01  7.801673E-01  2.153081E-01
        23  1.674651E-01  1.211593E+00  2.157817E-01
        24  2.828560E-01  2.006441E+00  2.163135E-01
        25 -1.077919E+00  7.584754E-01 -8.422799E-01
        26 -1.071304E+00  7.812520E-01 -8.422693E-01
        27 -9.542993E-01  1.212132E+00 -8.427874E-01
        28 -7.624357E-01  2.006115E+00 -8.433081E-01
        29 -6.746883E-02  7.576420E-01  4.462781E-02
        30 -4.834080E-01  7.579872E-01 -3.130593E-01
        31 -8.958154E-01  7.583292E-01 -6.711655E-01
        32 -7.120414E-02  7.796335E-01  4.020273E-02
        33 -4.813568E-01  7.801830E-01 -3.206368E-01
        34 -8.875571E-01  7.808669E-01 -6.711344E-01
        35 -9.604994E-03  1.211977E+00  4.000924E-02
        36 -3.960845E-01  1.212440E+00 -3.142701E-01
        37 -7.799119E-01  1.212365E+00 -6.677864E-01
        38  1.158014E-01  2.006689E+00  4.236906E-02
        39 -2.416771E-01  2.006846E+00 -3.132891E-01
        40 -5.972792E-01  2.006454E+00 -6.691541E-01
        41  0.000000E+00  0.000000E+00  0.000000E+00
        42  0.000000E+00  0.000000E+00  0.000000E+00
        43  0.000000E+00  0.000000E+00  0.000000E+00
        44  0.000000E+00  0.000000E+00  0.000000E+00
        45  0.000000E+00  0.000000E+00  0.000000E+00
        46  0.000000E+00  0.000000E+00  0.000000E+00
        47  0.000000E+00  0.000000E+00  0.000000E+00
        48  0.000000E+00  0.000000E+00  0.000000E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALLE and time  0.1000000E+01

         1   1 -5.748392E-02 -5.748392E-02 -5.363485E-01  8.059418E-02 -7.572468E-01 -4.745940E+00
         1   2  2.009205E-02  2.009205E-02 -5.363485E-01  8.059418E-02 -7.572468E-01 -4.745940E+00
         1   3 -5.214575E-02 -5.214575E-02 -5.007607E-01  8.593235E-02  4.984453E+00  9.957600E-01
         1   4  2.543022E-02  2.543022E-02 -5.007607E-01  8.593235E-02  4.984453E+00  9.957600E-01
         1   5  1.090426E-01  1.090426E-01  5.738284E-01 -8.593235E-02 -4.585047E+00 -9.181401E-01
         1   6  1.866186E-01  1.866186E-01  5.738284E-01 -8.593235E-02 -4.585047E+00 -9.181401E-01
         1   7  1.143808E-01  1.143808E-01  6.094162E-01 -8.059418E-02  1.156653E+00  4.823560E+00
         1   8  1.919568E-01  1.919568E-01  6.094162E-01 -8.059418E-02  1.156653E+00  4.823560E+00
         2   1  9.874032E-02  9.874032E-02  3.709593E-01  1.794025E-02 -3.153849E-01 -1.237971E+00
         2   2  6.764191E-02  6.764191E-02  3.709593E-01  1.794025E-02 -3.153849E-01 -1.237971E+00
         2   3 -9.457537E-03 -9.457537E-03 -3.503597E-01 -9.025760E-02  1.262344E+00  3.397576E-01
         2   4 -4.055595E-02 -4.055595E-02 -3.503597E-01 -9.025760E-02  1.262344E+00  3.397576E-01
         2   5  2.642297E-02  2.642297E-02 -1.111563E-01  9.025760E-02 -1.367204E+00 -1.861520E-01
         2   6 -4.675442E-03 -4.675442E-03 -1.111563E-01  9.025760E-02 -1.367204E+00 -1.861520E-01
         2   7 -8.177489E-02 -8.177489E-02 -8.324754E-01 -1.794025E-02  2.105247E-01  1.391577E+00
         2   8 -1.128733E-01 -1.128733E-01 -8.324754E-01 -1.794025E-02  2.105247E-01  1.391577E+00
         3   1  7.267492E-02  7.267492E-02  3.183115E-01 -5.706053E-03 -2.929537E-02 -4.053408E-01
         3   2  6.057435E-02  6.057435E-02  3.183115E-01 -5.706053E-03 -2.929537E-02 -4.053408E-01
         3   3  1.149706E-02  1.149706E-02 -8.954087E-02 -6.688391E-02  2.415443E-01 -1.345011E-01
         3   4 -6.035062E-04 -6.035062E-04 -8.954087E-02 -6.688391E-02  2.415443E-01 -1.345011E-01
         3   5  8.495664E-05  8.495664E-05 -1.656216E-01  6.688391E-02 -2.098552E-01 -2.247810E-01
         3   6 -1.201561E-02 -1.201561E-02 -1.656216E-01  6.688391E-02 -2.098552E-01 -2.247810E-01
         3   7 -6.109290E-02 -6.109290E-02 -5.734739E-01  5.706053E-03  6.098453E-02  4.605866E-02
         3   8 -7.319346E-02 -7.319346E-02 -5.734739E-01  5.706053E-03  6.098453E-02  4.605866E-02
         4   1  1.921038E-02  1.921038E-02  2.517817E-01  1.328309E-01 -4.776369E-03 -6.884080E-02
         4   2 -3.762766E-02 -3.762766E-02  2.517817E-01  1.328309E-01 -4.776369E-03 -6.884080E-02
         4   3 -1.568679E-01 -1.568679E-01 -9.220735E-01 -4.324733E-02 -1.174338E+00 -1.238402E+00
         4   4 -2.137059E-01 -2.137059E-01 -9.220735E-01 -4.324733E-02 -1.174338E+00 -1.238402E+00
         4   5  1.087940E-01  1.087940E-01  8.490058E-01  4.324733E-02  7.749311E-01 -8.485483E-01
         4   6  5.195597E-02  5.195597E-02  8.490058E-01  4.324733E-02  7.749311E-01 -8.485483E-01
         4   7 -6.728427E-02 -6.728427E-02 -3.248494E-01 -1.328309E-01 -3.946301E-01 -2.018110E+00
         4   8 -1.241223E-01 -1.241223E-01 -3.248494E-01 -1.328309E-01 -3.946301E-01 -2.018110E+00
