
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set MID and time  0.1000000E+01

        17  1.406147E-16 -1.568065E-14 -4.707387E-02

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set MEMBER and time  0.1000000E+01

         1   1 -3.160452E-02  4.196194E-03 -1.544847E-04 -5.629702E-03 -9.420052E-02 -1.316449E-03
         1   2 -1.236513E-01 -3.943200E-03 -2.484662E-03 -4.337686E-03 -8.534274E-02  3.876698E-04
         1   3 -2.114634E-01 -2.201746E-03 -5.801896E-04 -3.045669E-03 -9.536322E-02  3.979294E-04
         1   4  3.661447E-14 -4.321899E-15 -1.000216E-14 -9.511504E-15 -1.038582E-01 -1.316449E-03
         1   5  7.472629E-14 -2.698077E-15 -6.728753E-15 -4.614916E-15 -9.500045E-02  3.876698E-04
         1   6  1.072128E-13 -4.964111E-15 -1.831659E-14 -1.046396E-14 -1.050209E-01  3.979294E-04
         1   7  3.160452E-02 -4.196194E-03  1.544847E-04  5.629702E-03 -9.420052E-02 -1.316449E-03
         1   8  1.236513E-01  3.943200E-03  2.484662E-03  4.337686E-03 -8.534274E-02  3.876698E-04
         1   9  2.114634E-01  2.201746E-03  5.801896E-04  3.045669E-03 -9.536322E-02  3.979294E-04
         1  10 -2.331203E-02  7.750119E-03  3.399440E-03  7.036079E-14 -9.036411E-02 -5.945030E-14
         1  11 -1.153588E-01 -3.892747E-04  1.069264E-03  5.845998E-14 -8.019829E-02 -1.145217E-14
         1  12 -2.031709E-01  1.352179E-03  2.973736E-03  3.651133E-14 -8.891073E-02 -2.310791E-15
         1  13  3.457945E-14  9.808403E-16  4.427630E-16 -1.369683E-14 -1.000218E-01 -6.179909E-14
         1  14  3.745636E-14  7.087188E-16  8.178205E-16 -7.304565E-15 -8.985600E-02 -7.848073E-15
         1  15  3.778458E-14 -3.792954E-16 -6.486883E-15 -1.254355E-14 -9.856843E-02  4.328292E-15
         1  16  2.331203E-02 -7.750119E-03 -3.399440E-03 -1.155006E-13 -9.036411E-02 -6.638588E-14
         1  17  1.153588E-01  3.892747E-04 -1.069264E-03 -9.508861E-14 -8.019829E-02 -9.862159E-15
         1  18  2.031709E-01 -1.352179E-03 -2.973736E-03 -8.715974E-14 -8.891073E-02  3.246325E-16
         1  19 -3.160452E-02  4.196194E-03 -1.544847E-04  5.629702E-03 -9.420052E-02  1.316449E-03
         1  20 -1.236513E-01 -3.943200E-03 -2.484662E-03  4.337686E-03 -8.534274E-02 -3.876698E-04
         1  21 -2.114634E-01 -2.201746E-03 -5.801896E-04  3.045669E-03 -9.536322E-02 -3.979294E-04
         1  22  3.045530E-14  5.285873E-15  9.665023E-15 -1.367983E-14 -1.038582E-01  1.316449E-03
         1  23 -2.727365E-15  1.751167E-15  3.387770E-15 -6.905278E-15 -9.500045E-02 -3.876698E-04
         1  24 -3.161396E-14  2.596440E-15 -6.432452E-17 -1.107154E-14 -1.050209E-01 -3.979294E-04
         1  25  3.160452E-02 -4.196194E-03  1.544847E-04 -5.629702E-03 -9.420052E-02  1.316449E-03
         1  26  1.236513E-01  3.943200E-03  2.484662E-03 -4.337686E-03 -8.534274E-02 -3.876698E-04
         1  27  2.114634E-01  2.201746E-03  5.801896E-04 -3.045669E-03 -9.536322E-02 -3.979294E-04
         2   1 -2.660599E-01 -9.183822E-04 -5.229539E-04 -7.422992E-04 -9.563634E-02  3.587729E-05
         2   2 -3.558137E-01  5.110252E-04  4.138938E-04 -1.105336E-03 -8.595655E-02 -5.335976E-05
         2   3 -4.458457E-01  1.291307E-03  1.072545E-03 -1.468373E-03 -9.548578E-02 -3.131819E-05
         2   4  1.309254E-13 -1.819977E-16 -1.876485E-14 -8.724020E-15 -1.051925E-01  3.587729E-05
         2   5  1.481838E-13  3.143784E-15 -1.436838E-14 -5.100757E-15 -9.551271E-02 -5.335976E-05
         2   6  1.630011E-13  1.264207E-15 -1.053152E-14 -7.703152E-15 -1.050419E-01 -3.131819E-05
         2   7  2.660599E-01  9.183822E-04  5.229539E-04  7.422992E-04 -9.563634E-02  3.587729E-05
         2   8  3.558137E-01 -5.110252E-04 -4.138938E-04  1.105336E-03 -8.595655E-02 -5.335976E-05
         2   9  4.458457E-01 -1.291307E-03 -1.072545E-03  1.468373E-03 -9.548578E-02 -3.131819E-05
         2  10 -2.671337E-01 -1.378583E-03 -9.831546E-04  4.851551E-14 -8.883626E-02 -8.539750E-15
         2  11 -3.568875E-01  5.082453E-05 -4.630682E-05  5.763750E-14 -7.932584E-02 -8.376918E-15
         2  12 -4.469195E-01  8.311067E-04  6.123444E-04  5.830801E-14 -8.902445E-02  2.742124E-15
         2  13  3.983523E-14  1.182613E-15 -8.328371E-15 -1.041199E-14 -9.839242E-02  1.881482E-16
