file_role,package_revision,file_path,sha256,capture_date,coordinate_system,vertical_datum,producer,checker,acceptance_status
drainage_ground_readiness,,,,,,,,,not-received
structural_design_basis,,,,,,,,,not-received
structural_asset_schedule,,,,,,,,,not-received
load_case_register,,,,,,,,,not-received
opensees_model,,,,,,,,,not-received
opensees_report,,,,,,,,,not-received
calculix_input,,,,,,,,,not-received
calculix_report,,,,,,,,,not-received
structural_verification_report,,,,,,,,,not-received
independent_check_record,,,,,,,,,not-received
structural_acceptance_record,,,,,,,,,not-received
