s,C,m
Time,ROOM_TEMP,DOOR_VIS
 0.0000000E+000, 2.0000000E+001, 3.0000000E+001
 1.0754639E+000, 2.0000028E+001, 3.0000000E+001
 2.0371371E+000, 2.0008484E+001, 3.0000000E+001
 3.0129658E+000, 2.0045778E+001, 3.0000000E+001
 4.0299787E+000, 2.0098654E+001, 3.0000000E+001
 5.0437914E+000, 2.0169870E+001, 3.0000000E+001
 6.0288538E+000, 2.0240256E+001, 3.0000000E+001
 7.0120968E+000, 2.0321200E+001, 3.0000000E+001
 8.0126371E+000, 2.0409454E+001, 3.0000000E+001
 9.0415462E+000, 2.0516689E+001, 3.0000000E+001
 1.0023687E+001, 2.0679907E+001, 3.0000000E+001
 1.1032793E+001, 2.2701066E+001, 3.0000000E+001
 1.2031595E+001, 3.7388609E+001, 1.0540912E+001
 1.3030397E+001, 4.4204078E+001, 3.9383683E+000
 1.4030591E+001, 5.0898135E+001, 3.7114382E+000
 1.5018236E+001, 5.1900438E+001, 4.9899984E+000
 1.6028093E+001, 4.7021190E+001, 1.5856413E+001
 1.7001101E+001, 4.8882542E+001, 2.2344979E+001
 1.8014362E+001, 6.3070549E+001, 8.4841806E+000
 1.9015201E+001, 7.7565855E+001, 2.7889147E+000
 2.0016919E+001, 8.5623772E+001, 2.1296482E+000
 2.1018638E+001, 9.0390734E+001, 2.2843383E+000
 2.2013201E+001, 9.0124396E+001, 2.9254353E+000
 2.3020504E+001, 9.2304109E+001, 2.8129711E+000
 2.4021934E+001, 9.9144526E+001, 2.1141511E+000
 2.5014024E+001, 1.0490425E+002, 1.7840009E+000
 2.6026869E+001, 1.0713993E+002, 1.6087109E+000
 2.7008553E+001, 1.0996229E+002, 1.6568173E+000
 2.8024299E+001, 1.1488380E+002, 1.9060701E+000
 2.9030926E+001, 1.2038966E+002, 1.6526219E+000
 3.0013325E+001, 1.2524522E+002, 1.3545706E+000
 3.1032119E+001, 1.2677750E+002, 1.2449157E+000
 3.2005968E+001, 1.2584484E+002, 1.2311177E+000
 3.3025753E+001, 1.3240021E+002, 1.3220423E+000
 3.4020527E+001, 1.3517911E+002, 1.1378938E+000
 3.5001287E+001, 1.3476726E+002, 1.2950575E+000
 3.6007321E+001, 1.3725400E+002, 1.5176071E+000
 3.7004909E+001, 1.4531123E+002, 1.4239430E+000
 3.8001486E+001, 1.4836572E+002, 2.0157227E+000
 3.9028447E+001, 1.5364600E+002, 1.2539832E+000
 4.0005185E+001, 1.5517160E+002, 1.3778356E+000
 4.1000917E+001, 1.4863653E+002, 1.5858738E+000
 4.2021571E+001, 1.4739745E+002, 1.3187624E+000
 4.3024586E+001, 1.5568366E+002, 1.7903912E+000
 4.4016338E+001, 1.5032985E+002, 1.5273298E+000
 4.5031926E+001, 1.5269122E+002, 1.3834893E+000
 4.6004291E+001, 1.5953582E+002, 1.1947308E+000
 4.7024450E+001, 1.6190124E+002, 1.3410627E+000
 4.8001448E+001, 1.6417390E+002, 1.5113076E+000
 4.9014256E+001, 1.6424390E+002, 1.0707606E+000
 5.0012139E+001, 1.5592525E+002, 1.1067725E+000
 5.1001748E+001, 1.5111502E+002, 1.1113027E+000
 5.2027454E+001, 1.6450824E+002, 1.0237009E+000
 5.3010829E+001, 1.5776845E+002, 1.0062199E+000
 5.4010720E+001, 1.5725930E+002, 1.1747690E+000
 5.5003661E+001, 1.6441817E+002, 1.5379688E+000
 5.6010126E+001, 1.6687015E+002, 1.0967450E+000
 5.7020347E+001, 1.7088638E+002, 1.1928991E+000
 5.8002583E+001, 1.6848085E+002, 1.0221808E+000
 5.9031331E+001, 1.5991146E+002, 1.2453927E+000
 6.0000000E+001, 1.5862529E+002, 1.2787393E+000
