s,C,m
Time,ROOM_TEMP,DOOR_VIS
 0.0000000E+000, 2.0000000E+001, 3.0000000E+001
 1.0754639E+000, 2.0000027E+001, 3.0000000E+001
 2.0578239E+000, 2.0017995E+001, 3.0000000E+001
 3.0157041E+000, 2.0081125E+001, 3.0000000E+001
 4.0263609E+000, 2.0134375E+001, 3.0000000E+001
 5.0304318E+000, 2.0194988E+001, 3.0000000E+001
 6.0226624E+000, 2.0266152E+001, 3.0000000E+001
 7.0224629E+000, 2.0354141E+001, 3.0000000E+001
 8.0287050E+000, 2.0453035E+001, 3.0000000E+001
 9.0067975E+000, 2.0558401E+001, 3.0000000E+001
 1.0005151E+001, 2.0677222E+001, 3.0000000E+001
 1.1006264E+001, 2.0809989E+001, 3.0000000E+001
 1.2014710E+001, 2.0914058E+001, 3.0000000E+001
 1.3023156E+001, 2.0954080E+001, 3.0000000E+001
 1.4028373E+001, 2.0967550E+001, 3.0000000E+001
 1.5015815E+001, 2.0987923E+001, 3.0000000E+001
 1.6014258E+001, 2.1011692E+001, 3.0000000E+001
 1.7023398E+001, 2.0993028E+001, 3.0000000E+001
 1.8001986E+001, 2.0955700E+001, 3.0000000E+001
 1.9036730E+001, 2.0942816E+001, 3.0000000E+001
 2.0006206E+001, 2.0944683E+001, 3.0000000E+001
 2.1025052E+001, 2.0922803E+001, 3.0000000E+001
 2.2020072E+001, 2.0923625E+001, 3.0000000E+001
 2.3010061E+001, 2.0943458E+001, 3.0000000E+001
 2.4020462E+001, 2.0952067E+001, 3.0000000E+001
 2.5023862E+001, 2.0941675E+001, 3.0000000E+001
 2.6020808E+001, 2.0934035E+001, 3.0000000E+001
 2.7002956E+001, 2.0930018E+001, 3.0000000E+001
 2.8026486E+001, 2.0920588E+001, 3.0000000E+001
 2.9008128E+001, 2.0914321E+001, 3.0000000E+001
 3.0013274E+001, 2.0922902E+001, 3.0000000E+001
 3.1009777E+001, 2.0931990E+001, 3.0000000E+001
 3.2014879E+001, 2.0944032E+001, 3.0000000E+001
 3.3030789E+001, 2.0933616E+001, 3.0000000E+001
 3.4030094E+001, 2.0913339E+001, 3.0000000E+001
 3.5014968E+001, 2.0894730E+001, 3.0000000E+001
 3.6027190E+001, 2.0882645E+001, 3.0000000E+001
 3.7028099E+001, 2.0889444E+001, 3.0000000E+001
 3.8039291E+001, 2.0899085E+001, 3.0000000E+001
 3.9016280E+001, 2.0897245E+001, 3.0000000E+001
 4.0005439E+001, 2.0891372E+001, 3.0000000E+001
 4.1006808E+001, 2.0882963E+001, 3.0000000E+001
 4.2003751E+001, 2.0853743E+001, 3.0000000E+001
 4.3013481E+001, 2.0857204E+001, 3.0000000E+001
 4.4011652E+001, 2.0877128E+001, 3.0000000E+001
 4.5035600E+001, 2.0867410E+001, 3.0000000E+001
 4.6032690E+001, 2.0867201E+001, 3.0000000E+001
 4.7033473E+001, 2.0904285E+001, 3.0000000E+001
 4.8034809E+001, 2.0936792E+001, 3.0000000E+001
 4.9008766E+001, 2.0934216E+001, 3.0000000E+001
 5.0024364E+001, 2.0925393E+001, 3.0000000E+001
 5.1026157E+001, 2.0946901E+001, 3.0000000E+001
 5.2024420E+001, 2.0945168E+001, 3.0000000E+001
 5.3002325E+001, 2.0940643E+001, 3.0000000E+001
 5.4027203E+001, 2.0948655E+001, 3.0000000E+001
 5.5013544E+001, 2.0948978E+001, 3.0000000E+001
 5.6031413E+001, 2.0941248E+001, 3.0000000E+001
 5.7019349E+001, 2.0930334E+001, 3.0000000E+001
 5.8030823E+001, 2.0905682E+001, 3.0000000E+001
 5.9010172E+001, 2.0898337E+001, 3.0000000E+001
 6.0000000E+001, 2.0915580E+001, 3.0000000E+001
