
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set ALLN and time  0.1000000E+01

         1  1.058740E-06 -1.131032E-07 -1.425288E-03
         2  1.084202E-19  0.000000E+00  6.432156E-21
         3  6.352438E-06 -8.975368E-06 -1.297610E-01
         4  1.270488E-05 -2.817447E-05  0.000000E+00
         5  1.164614E-05 -4.097387E-05  3.162394E-01
         6  1.960610E-04  1.242055E-04  6.443260E-01
         7  1.950023E-04  8.673617E-19  3.469447E-18
         8  2.013547E-04 -1.771632E-04 -4.951700E-01
         9  2.077072E-04 -3.441026E-04 -3.469447E-18
        10  2.066484E-04 -4.553956E-04  6.608201E-01
        11  0.000000E+00  0.000000E+00  0.000000E+00
        12  0.000000E+00  0.000000E+00  0.000000E+00
        13  0.000000E+00  0.000000E+00  0.000000E+00
        14  0.000000E+00  0.000000E+00  0.000000E+00
        15  0.000000E+00  0.000000E+00  0.000000E+00
        16  1.650536E-05 -4.798240E-05 -3.953243E-01
        17  6.464381E-05 -9.306927E-05 -7.710599E-01
        18  1.494615E-04 -1.381561E-04 -6.936512E-01
        19  0.000000E+00  0.000000E+00  0.000000E+00
        20  0.000000E+00  0.000000E+00  0.000000E+00
        21  0.000000E+00  0.000000E+00  0.000000E+00
        22  0.000000E+00  0.000000E+00  0.000000E+00
        23  0.000000E+00  0.000000E+00  0.000000E+00
        24  0.000000E+00  0.000000E+00  0.000000E+00
        25  0.000000E+00  0.000000E+00  0.000000E+00
        26  2.175461E-02  9.025708E-02 -3.996523E-01
        27  0.000000E+00  0.000000E+00  0.000000E+00
        28  0.000000E+00  0.000000E+00  0.000000E+00
        29  5.346253E-03 -5.483929E-02 -6.979792E-01

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALLE and time  0.1000000E+01

         1   1  7.481388E-01  2.706246E-01  3.617887E-01  1.419471E-01 -4.764147E-01  1.854899E-01
         1   2  6.027204E-01 -6.680463E-02  2.181574E-01  1.106847E+00  1.212159E+00 -5.852100E-02
         1   3 -6.027554E-01 -3.083500E-01 -2.171803E-01  1.807160E-01  4.764147E-01  1.587584E-02
         1   4 -7.481038E-01 -6.457093E-01 -3.606484E-01  1.145615E+00 -1.212159E+00  1.110930E-01
         1   5 -7.481038E-01 -2.713647E-01 -3.625344E-01 -1.419471E-01 -4.764093E-01  1.854765E-01
         1   6 -6.027554E-01  6.966217E-02 -2.153988E-01 -1.106847E+00  1.212165E+00 -5.850767E-02
         1   7  6.027204E-01  3.075400E-01  2.163759E-01 -1.807160E-01  4.764093E-01  1.586251E-02
         1   8  7.481388E-01  6.486368E-01  3.636748E-01 -1.145615E+00 -1.212165E+00  1.111064E-01
         2   1  1.680397E+00  1.196977E-01 -2.136058E-01  3.532710E+00 -4.068069E+00 -7.969063E-02
         2   2  1.815765E+00  4.306312E-01 -8.309308E-02  2.801279E+00 -5.348073E+00  7.875705E-02
         2   3  2.362469E+00  4.122964E-01  7.891924E-02  3.508650E+00  1.259923E+00  7.820807E-02
         2   4  2.497784E+00  7.231774E-01  2.093097E-01  2.777219E+00  2.539927E+00 -7.914165E-02
         2   5 -1.679800E+00 -1.190688E-01  2.143083E-01 -3.532614E+00 -4.068071E+00 -7.968065E-02
         2   6 -1.815115E+00 -4.397301E-01  7.413760E-02 -2.801183E+00 -5.348076E+00  7.874707E-02
         2   7 -2.363066E+00 -4.116150E-01 -7.831144E-02 -3.508554E+00  1.259926E+00  7.821805E-02
         2   8 -2.498434E+00 -7.323287E-01 -2.186044E-01 -2.777123E+00  2.539930E+00 -7.915163E-02
         3   1 -6.680231E+00 -1.805554E+00 -2.141612E-01  3.726198E-02  5.692680E-01 -2.445317E-01
         3   2 -6.261033E+00 -8.225370E-01  2.099262E-01  3.726198E-02  5.692680E-01  2.445317E-01
